identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,aliases
4c931d56,AA Donald,AA Donald,,,,,,,44716.0,,,,2010.0,,,,,,,,,Allan Donald
17aa4f1d,Aaron Jones,Aaron Jones,,,,,,,957645.0,,,,969401.0,,,,,17108,,,,A Jones
872b03f7,A Badoni,A Badoni,iUJeXIbiz1VGLe0iiJcIOJQCAKJhiOy,,,,,,1151270.0,,,,,,,,,,,,,Ayush Badoni
112959b2,A Bagai,A Bagai,,,,,,,23797.0,,,,,,,,,,,1234.0,,
fa463154,AB Agarkar,AB Agarkar,,,,,,,26184.0,,,,7111.0,,,,,,,47.0,,"A Agarkar, Ajit Agarkar"
6ef13460,A Balbirnie,A Balbirnie,,,,,,,303423.0,,,,128608.0,,,98fc9551-7bfd-4070-a522-7d8ff40661dd,,,,1190.0,,Andy Balbirnie
2cec2a92,Abbas Afridi,Abbas Afridi,,,,,,,1158538.0,,,,,,,,,,,,,
c4487b84,AB de Villiers,AB de Villiers,,,3241.0,,,,44936.0,,,,45848.0,,,,,,,233.0,,
66b30f71,AB Dinda,AB Dinda,UG1IAQOiiJIiibeCJezyXOihcJJKV0L,,,,,,227712.0,,,,,,,,,,,48.0,,"A Dinda, Ashoke Dinda"
fc2fffb5,Abdullah Shafique,Abdullah Shafique,,,,,,,922941.0,,,,1668449.0,,,,,,,4582.0,,"A Shafique, Abdullah Shafiq"
0b1dadd2,Abdul Qadir Khan,Abdul Qadir Khan,,,,,,,38973.0,,,,1538.0,,,,,,,,,Abdul Qadir
390ff45b,Abdul Razzaq,Abdul Razzaq,,,,,,,39836.0,,,,4172.0,,,,,,,442.0,,"A Razzaq, Abdur Razzaq"
8e514b4c,Abdul Samad,Abdul Samad,hicQGCIJAJiJiVKXbJLyU0Oii1OzIee,,,,,,1175485.0,,,,1949202.0,,,,,,,19352.0,,A Samad
f29185a1,Abhishek Sharma,Abhishek Sharma,i0IJLJ1GJOycQAVzCeheiUbXiiIOKJi,JiKiGIeIUAV0hzOiiLQJ1XycCJbJOei,,,,,1070183.0,1131614.0,,,1576635.0,,,,,,,3760.0,,A Sharma
ad3b6e95,Abishek Porel,Abishek Porel,,,,,,,1277545.0,,,,,,,,,,,,,
2b6e6dec,AC Gilchrist,AC Gilchrist,,,,,,,5390.0,,,,4170.0,,,,,,,65.0,,"A Gilchrist, Adam Gilchrist"
e249fdaa,A Chopra,A Chopra,,,,,,,27639.0,,,,7749.0,,,,,,,,,"AS Chopra, Akash Chopra"
864c199e,AC Voges,AC Voges,,,,,,,8119.0,,,,12201.0,,,,,,,400.0,,"A Voges, Adam Voges"
5b16a806,A Dananjaya,A Dananjaya,,,,,,,574178.0,,,,515118.0,,,,,,,588.0,,"Akila Dananjaya, MKPAD Perera"
92aeac25,AD Hales,AD Hales,,,4150.0,,,,249866.0,,,11252.0,113074.0,,,,,,,511.0,,"A Hales, Alex Hales"
896d78ad,AD Mathews,AD Mathews,,,,,,,49764.0,,,,60694.0,,,,,,,217.0,,"A Mathews, Angelo Mathews, Mathews"
bbd41817,AD Russell,AD Russell,,,,,,,276298.0,,,,158041.0,,,,,,,177.0,,"A Russell, Andre Russell"
ddc0828d,A Flintoff,A Flintoff,,,,,,,12856.0,,,,4263.0,,,,,,,392.0,,Andrew Flintoff
35aa26af,A Flower,A Flower,,,,,,,55427.0,,,,2046.0,,,,,,,,,Andy Flower
350bb1b1,AF Milne,AF Milne,,,4881.0,7625.0,,,450860.0,,,,921071.0,,,29490c43-d6cd-4419-84e9-c4d9f7cb1398,,,,434.0,,"A Milne, Adam Milne, Milne"
f8fd6e3f,Ahmed Shehzad,Ahmed Shehzad,,,,,,,259410.0,,,13093.0,85312.0,,,,,,,979.0,,A Shehzad
7923cca0,A Jadeja,A Jadeja,,,,,,,29632.0,,,,2059.0,,,,,,,,,"AD Jadeja, Ajay Jadeja"
29b6bcd4,Ajaz Patel,Ajaz Patel,,,,,,,1163144.0,,,,,,,,,,,,,
b8d490fd,AJ Finch,AJ Finch,,,4780.0,,,,5334.0,,,,35381.0,,,,,,,167.0,,"A Finch, Aaron Finch"
b68d14a9,AJ Strauss,AJ Strauss,,,,,,,20387.0,,,,7005.0,,,,,,,2629.0,,"A Strauss, Andrew Strauss"
ff1e12a0,AJ Turner,AJ Turner,,,5541.0,,,,500268.0,,,,1061396.0,,,,,,,1285.0,,"A Turner, Ashton Turner"
7c7d63a2,AJ Tye,AJ Tye,,,6875.0,,,,459508.0,,,,180608.0,,,,,,,1480.0,,"A Tye, Andrew Tye, Tye"
0a67aec0,Akash Deep,Akash Deep,2018d8851d0bdd9511e8a30e02726df,,,,,,1176959.0,,,,,,,,,,,,,
4bd09374,Akash Madhwal,Akash Madhwal,201913f97eb2daa311e9a30e02726df,,,,,,1206039.0,,,,,,,,,,,,,Madhwal A
0c2730df,A Kumble,A Kumble,,,,,,,30176.0,,,,1972.0,,,,,,,,,Anil Kumble
ab6b1c45,AL Phehlukwayo,AL Phehlukwayo,,,,,,,540316.0,,,,1386604.0,,53000.0,,,,,1662.0,,"A Phehlukwayo, Andile Phehlukwayo, Phehlukwayo"
0890552f,A Manohar,A Manohar,2016c92165c08c9611e69558028d29d,,,,,,778963.0,,,,,,,,,,,,,Abhinav Manohar
6b19d823,A Mishra,A Mishra,JKViieiGOiIJAXbzeIJJU0CLyOcihQ1,,,,,,31107.0,,,,12353.0,,,,,,,30.0,,"A R Mishra, Amit Mishra"
29e95537,AM Rahane,AM Rahane,AXeJIbJi1OLGK0UQihJzyiJeOcViIiC,,,,,,277916.0,,,,154043.0,,,,,,,135.0,,"A Rahane, Ajinkya Rahane"
88679525,Asghar Afghan,Asghar Afghan,,,,,,,320652,,,,103866,,,,,,,611,
